Date,Africa,Asia,Europe,Middle_East,North_America,Oceania,South_America,Southeast_Asia,Ukraine
3/2/2022,15,180,4863,72,1208,90,116,71,1235
3/3/2022,32,419,6994,115,1723,119,156,99,2205
3/4/2022,39,467,9069,137,1905,135,172,111,2470
3/5/2022,59,604,17392,163,2416,177,217,141,2876
3/6/2022,77,694,18447,184,2653,195,244,163,3252
3/7/2022,88,867,20999,206,3057,245,269,180,3648
3/8/2022,129,1143,27081,306,4028,363,335,206,4582
3/9/2022,137,1171,27996,320,4245,580,358,219,4726
3/10/2022,156,1308,30141,353,4548,623,371,236,5097
3/11/2022,164,1443,34439,390,5245,718,393,264,5823
