Date,Africa,Central_America,Central_Asia,Eastern_Europe,North_America,Northern_Europe,Oceania,Southeastern_Asia,South_America,Southern_Europe,Western_Asia,Western_Europe,Total
3/2/2022,15,23,382,1924,1185,625,90,230,116,232,93,2935,7850
3/3/2022,32,28,599,3181,1695,892,119,459,156,343,168,4190,11862
3/4/2022,39,34,705,3521,1871,1069,135,499,172,369,206,5885,14505
3/5/2022,59,60,980,4168,2356,1385,177,649,217,476,249,13269,24045
3/6/2022,77,77,1178,4644,2576,1609,195,751,244,515,280,13763,25909
3/7/2022,88,96,1592,5222,2961,2392,245,906,269,601,337,14850,29559
3/8/2022,129,126,2346,6504,3902,3666,363,1161,335,725,480,18436,38173
3/9/2022,137,140,2529,6704,4105,3930,580,1194,358,758,498,18819,39752
3/10/2022,156,151,2867,7163,4397,4874,623,1330,371,816,540,19545,42833
3/11/2022,171,165,3272,8068,5080,5972,718,1452,393,909,570,22109,48879
