,country,obey_laws,public_mtgs,protests,revolutionary_mtgs,revolutionary_books
1,Australia,1.594190871,1.437243642,1.932937182,2.633057851,2.421551724
2,Belgium,1.565564424,1.573198198,1.725156161,2.450434783,2.104142012
3,Chile,1.375280899,2.111710324,2.164615385,2.343387471,2.118973561
4,Croatia,1.579268293,1.681145114,1.972166998,2.406342914,1.961347869
5,Czechia,1.436968291,1.758364312,1.951915853,2.25284738,2.255537975
6,Denmark,1.478771454,1.325709058,1.485239852,2.168539326,1.929044465
7,Finland,1.578994614,1.638811513,1.61707989,2.807407407,2.380133715
8,France,1.757750541,1.511240029,1.624817518,2.247452693,1.970104634
9,Georgia,1.18081761,1.931893688,2.146835443,2.16093881,2.184534271
10,Germany,1.601218687,1.569899244,1.618924174,2.161989796,2.076822062
11,Hungary,1.459205021,1.830784913,1.873469388,2.397043295,2.485042735
12,Iceland,1.596153846,1.28355838,1.417412531,1.892542101,1.832635983
13,India,1.318658281,1.714972527,1.909342561,1.839829908,1.851534618
14,Israel,1.381698269,1.626137304,1.686046512,2.65704584,2.451166811
15,Japan,1.65622724,1.737741456,1.927927928,2.200448766,2.012158055
16,Latvia,1.607296137,1.911111111,2.016859852,2.973375932,2.625799574
17,Lithuania,1.611353712,1.767393562,1.779274611,2.370330843,2.24229543
18,New Zealand,1.675527756,1.358333333,1.607170099,2.160876133,2.051223242
19,Norway,1.460526316,1.299916458,1.414965986,2.351993215,1.933569531
20,Philippines,1.401378122,2.476351351,2.618887015,2.145256087,2.075821398
21,Russia,1.435172414,2.191176471,2.296243799,3.013629842,2.939283102
22,Slovakia,1.389814815,1.864942529,1.894534995,2.170377541,2.157534247
23,Slovenia,1.580082136,1.882901554,1.923316062,2.820618557,2.337113402
24,South Africa,1.277220878,1.995342648,2.126126126,1.922056385,2.001344086
25,South Korea,1.499034749,1.932104753,2.332684825,2.619980411,2.424390244
26,Spain,1.330357143,1.564233164,1.554736245,2.585380117,2.31026393
27,Suriname,1.311917098,1.732581967,1.876811594,1.891779396,2.078947368
28,Sweden,1.634034767,1.248134328,1.360824742,2.088642659,1.794285714
29,Switzerland,1.743818002,1.951267057,1.991262136,2.395894428,2.197445972
30,Taiwan,1.441592457,1.895392954,2.283152174,2.433911159,1.934711643
31,Thailand,1.220839813,2.245535714,2.427480916,2.130561634,2.17509434
32,Turkey,1.486232371,2.314026518,2.44086774,2.378133705,2.432658758
33,United States,1.583272194,1.723325975,1.745227606,1.853998533,1.703894195
34,Venezuela,1.120672601,2.246015936,2.236055777,2.021760633,2
35,United Kingdom,1.495862069,1.548927614,1.870677732,2.564548495,2.418067227
