Date,Aland Islands,Albania,Algeria,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Belarus,Belgium,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cambodia,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Egypt,Estonia,Finland,France,Georgia,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Isle of Man,Israel,Italy,Japan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malaysia,Malta,Mexico,Moldova,Mongolia,Montenegro,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Romania,Russia,Saudi Arabia,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Syria,Taiwan,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Total
3/2/2022,1,19,0,2,9,1,90,821,0,8,34,29,1,10,4,85,17,2,4,89,2,0,2,0,7,12,50,55,0,17,68,160,20,986,25,40,86,9,23,2,1,83,0,17,67,83,0,0,0,36,34,81,0,12,41,41,2,0,0,544,0,0,0,63,0,15,5,4,338,21,122,382,0,18,12,50,1,13,0,5,44,0,108,314,0,5,7,29,0,1235,13,151,1055,0,0,3,4,1,7850
3/3/2022,1,22,8,6,9,7,119,1120,3,8,38,52,1,13,6,110,31,2,4,123,2,13,10,0,14,17,70,77,0,32,32,275,43,1506,40,59,147,11,41,4,1,122,0,40,103,215,6,0,0,44,44,110,0,12,45,60,2,0,0,764,0,0,0,99,0,20,7,4,418,36,209,593,2,31,20,76,3,13,1,20,60,0,208,363,0,9,7,38,0,2205,17,222,1527,2,0,3,4,1,11862
3/4/2022,1,22,8,6,9,7,135,1191,13,8,38,61,1,13,6,122,33,4,4,132,6,13,10,1,15,19,78,89,0,37,128,326,49,2879,42,62,165,11,46,4,1,127,0,49,117,229,10,0,0,45,47,125,0,12,53,60,2,0,0,852,0,0,0,101,0,25,7,4,435,38,237,695,2,36,24,82,5,13,2,26,62,0,234,451,2,9,13,44,0,2470,20,249,1686,2,0,3,4,1,14505
3/5/2022,1,23,8,6,11,9,177,1367,16,8,47,75,1,19,6,138,46,4,4,163,18,15,14,1,15,24,99,100,0,39,169,409,61,9455,46,65,207,18,75,4,1,143,0,56,141,303,10,0,0,56,59,205,2,12,61,76,2,2,0,1050,0,2,0,140,2,51,7,4,509,48,293,970,2,56,42,97,15,13,2,36,108,0,358,708,2,9,17,49,0,2876,29,302,2132,4,0,6,13,1,24045
3/6/2022,1,32,8,6,11,9,195,1454,16,11,47,86,1,19,6,163,48,4,4,167,20,20,14,1,15,24,101,124,0,44,199,441,71,9643,48,69,218,20,79,6,1,147,0,62,146,356,10,0,0,58,62,245,2,14,67,90,2,2,9,1158,0,2,0,162,4,65,7,4,543,59,324,1168,2,58,55,113,21,13,4,37,116,0,480,736,2,11,19,55,3,3252,38,312,2342,4,0,6,15,1,25909
3/7/2022,1,44,8,6,11,13,245,1605,16,11,54,102,1,19,6,188,57,4,4,210,20,26,14,1,15,29,122,150,0,46,236,502,102,10236,51,83,231,26,90,6,1,160,0,64,167,428,10,0,0,68,68,295,2,16,73,110,2,2,29,1329,0,4,0,178,4,84,7,4,603,67,375,1582,2,67,64,127,22,15,4,52,145,0,1089,781,2,11,22,55,3,3648,53,370,2678,4,0,6,15,1,29559
3/8/2022,1,51,8,6,11,13,362,1886,18,19,91,120,1,19,9,248,70,4,4,315,20,29,18,1,15,33,162,173,0,471,288,1240,143,12199,53,122,246,311,117,6,1,186,0,86,211,546,14,2,0,80,80,396,2,16,100,156,2,2,34,1672,1,4,0,248,4,106,7,7,712,82,457,2332,2,70,95,150,28,18,12,85,192,0,1318,923,2,15,22,69,3,4582,113,510,3487,4,0,8,15,1,38173
3/9/2022,1,54,8,6,11,16,579,1957,18,23,97,124,1,19,11,270,72,4,4,337,20,29,18,1,21,33,163,178,0,541,303,1272,144,12358,53,127,251,388,117,6,1,190,0,88,221,561,16,0,0,82,80,402,2,16,106,173,2,2,34,1764,1,4,1,263,4,116,7,7,723,84,469,2511,2,71,105,163,30,18,12,85,200,0,1352,942,2,15,22,74,3,4726,120,552,3662,4,2,9,15,1,39752
3/10/2022,1,54,9,6,11,16,622,2092,19,23,99,155,1,20,11,279,76,4,4,358,20,74,18,1,29,33,169,187,0,566,342,1327,152,12615,53,139,255,1082,126,6,1,195,0,102,248,595,24,2,1,90,82,431,3,16,111,188,2,2,37,1943,1,4,1,282,4,127,7,7,745,94,501,2840,4,76,121,178,33,18,12,96,208,5,1406,982,2,15,22,78,3,5097,133,641,3928,4,2,12,16,1,42833
3/11/2022,1,57,10,6,11,16,717,3276,19,23,107,173,1,21,11,298,81,4,4,404,20,74,18,1,34,35,219,189,7,594,604,1572,152,13186,53,159,268,1307,155,6,1,197,2,122,267,625,63,2,1,107,86,494,8,16,117,198,2,2,37,2363,1,4,1,322,4,141,9,9,781,123,558,3204,4,95,128,199,33,18,12,106,226,5,1669,1045,2,20,22,82,3,5823,137,894,4559,4,4,12,16,1,48879
