Date,All_Locations,Europe,North_America,Oceania,South_America,Asia,Africa,Middle_East,outheast_Asia
2/26/2022,134,15,61,16,0,39,3,5,16
2/27/2022,89,14,42,4,2,25,3,2,5
2/28/2022,356,46,249,4,1,59,3,8,15
3/1/2022,106,29,46,8,0,27,1,4,5
3/2/2022,152,26,75,3,0,45,3,5,23
3/3/2022,109,11,62,1,0,33,2,2,12
3/4/2022,268,15,229,2,0,25,0,1,8
3/5/2022,54,12,26,0,0,18,0,2,6
3/6/2022,32,3,11,7,0,10,1,0,2
3/7/2022,62,19,29,0,0,15,3,2,4
3/8/2022,34,3,25,1,0,5,1,0,1
3/9/2022,16,7,7,3,0,0,0,1,0
3/10/2022,33,11,17,3,1,3,0,0,0
3/11/2022,50,18,22,8,1,3,0,1,1
