"","country","marital","parents","children","household","education","income"
"1","Albania",2.00488826815642,1.56254367575122,2.17294281729428,4.08735150244584,4.01951219512195,4.0893262679788
"2","Andorra",2.84431137724551,1.108,1.21115537848606,2.50099601593626,4.85643070787637,5.30240549828179
"3","Argentina",3.22532402791625,1.24426719840479,1.40614709110867,3.50050150451354,3.7357926221336,5.07345225603358
"4","Armenia",2.8189712758851,1.59479305740988,1.79038718291055,4.26233941852603,5.14,4.00841514726508
"5","Australia",2.52173913043478,1.06840934371524,1.78668171557562,2.48054145516074,5.65519219736087,5.08540103866128
"6","Austria",2.98042813455658,1.10048721071864,1.36861538461538,2.28789731051345,4.52862362971985,4.46850108616944
"7","Azerbaijan",2.52420701168614,1.39888579387187,1.67111853088481,3.75292153589316,4.565,2.97735618115055
"8","Bangladesh",1.67083333333333,1.44833333333333,1.81833333333333,4.48583333333333,2.85321100917431,5.49100257069409
"9","Belarus",2.55692108667529,1.15683732987686,1.4453074433657,2.6857514638907,5.94246929541047,4.90059347181009
"10","Bolivia",3.12069801260301,1.44849368318756,2.07696030977735,4.52690256907416,4.35031538088307,4.88639836984208
"11","Bosnia & Herzegovina",2.95774647887324,1.29425556858148,1.4010632014176,2.92840375586854,4.2599765258216,4.48919949174079
"12","Brazil",3.25368898978434,1.24574347332577,1.69750283768445,3.14755959137344,3.77797001153403,3.90694789081886
"13","Bulgaria",2.8037323037323,1.26413838988689,1.31386392811297,2.91252485089463,4.68471953578337,4.38277858176556
"14","Canada",2.84644101543056,1.14858138377302,1.06869089099054,2.51717272274764,5.89442081561171,5.5302839909525
"15","Chile",2.48208469055375,1.239,1.667,3.235,4.82164328657315,4.66460905349794
"16","China",1.86182902584493,1.40099502487562,1.40080026675559,3.44529350468913,3.83433133732535,4.13353313353313
"17","Colombia",3.46447368421053,1.38815789473684,1.66973684210526,3.85328947368421,4.11949265687583,4.15836791147995
"18","Croatia",3.05495251017639,1.26693766937669,1.36689189189189,2.90349075975359,4.85820391627279,5.57205623901582
"19","Cyprus",2.63627254509018,1.20204081632653,0.977933801404213,3.03807615230461,5.44902162718847,5.22795698924731
"20","Czechia",2.95518207282913,1.13841022790439,1.61061452513966,2.41259931895573,4.75696767001115,4.71949286846276
"21","Denmark",2.79695431472081,1.06145584725537,1.76999101527403,2.45449101796407,5.12104004781829,5.51811196487377
"22","Ecuador",3.17083333333333,1.38666666666667,1.83083333333333,4.06916666666667,4.20617696160267,4.64721030042918
"23","Egypt",2.34,1.255,2.14083333333333,3.9925,3.5975,4.9874213836478
"24","Estonia",3.38901778808971,1.09822119102862,1.73364126250962,2.28274268104777,5.06365030674847,4.15672306322351
"25","Ethiopia",2.54552845528455,1.30537459283388,1.95447154471545,4.49512195121951,3.02450980392157,4.2643391521197
"26","Finland",2.88225399495374,1.06980656013457,1.65523156089194,2.12586206896552,5.11483654652137,5.48733535967579
"27","France",3.44772117962466,1.05781584582441,1.55614973262032,2.18003273322422,4.55609232420827,4.40817571690055
"28","Georgia",2.59059790050205,1.42037631941257,1.77468007312614,3.38352402745995,5.02144160583942,3.3577564426478
"29","Germany",2.67717391304348,1.1273173391494,1.4708922742111,2.51988017429194,5.10108695652174,5.12476837554046
"30","Greece",2.75,1.11519198664441,1.30916666666667,2.40916666666667,4.2325,4.5287456445993
"31","Guatemala",3.89958158995816,1.59175084175084,1.27954144620811,4.29940119760479,5.09507346585998,5.76067615658363
"32","Hong Kong SAR China",2.86824324324324,1.42939759036145,1.03040540540541,3.1542912246866,5.01736613603473,4.77740058195926
"33","Hungary",3.11847389558233,1.2543391188251,1.32219251336898,2.69071476285905,4.72262773722628,4.48022598870056
"34","Iceland",2.52981366459627,1.12631578947368,2.06559405940594,2.9304347826087,5.19390926041019,5.55285171102662
"35","Indonesia",1.9759375,1.36303939962477,2.0678125,4.0503125,3.25664270084401,4.0694757156642
"36","Iran",2.66599866399466,1.45296864576384,1.5439302481556,3.80440587449933,4.99129852744311,3.84894053315106
"37","Iraq",2.29916666666667,1.99,2.23416666666667,5.23833333333333,3.84795321637427,4.32651321398124
"38","Italy",2.956,1.20106053910738,1.19235836627141,2.68165467625899,4.08613074204947,4.43327008222644
"39","Japan",2.06716417910448,1.25625473843821,1.73388305847076,3.05116629044394,5.38070306656694,3.95513373597929
"40","Jordan",2.30839567747298,1.37489609310058,2.65669160432253,4.7431421446384,4.16652789342215,4.00252525252525
"41","Kazakhstan",2.43775100401606,1.3981308411215,1.68496420047733,3.53475061324612,5.7921760391198,5.46325350949628
"42","Kyrgyzstan",2.3483709273183,1.4343339587242,2.41739130434783,4.30748422001803,5.42952460383653,4.72151898734177
"43","Lebanon",2.93083333333333,1.54166666666667,1.55666666666667,4.07833333333333,4.69333333333333,5.49497487437186
"44","Lithuania",2.91741845940319,1.23321799307958,1.55401662049861,2.52831491712707,5.0735600277585,4.83865086599818
"45","Macao SAR China",3.15181194906954,1.40450538687561,1.03149606299213,3.60869565217391,4.839,5.0196656833825
"46","Malaysia",2.77151561309977,1.43640517897944,1.48667174409749,4.1987814166032,4.34424980959634,4.40126382306477
"47","Mexico",2.50632911392405,1.32910662824207,2.31876456876457,4.1482122260669,4.02541883304448,4.13431952662722
"48","Montenegro",2.97672064777328,1.25527638190955,1.75924075924076,3.25326633165829,4.63289869608827,5.17391304347826
"49","Myanmar (Burma)",2.26666666666667,1.4575,1.87333333333333,4.41583333333333,3.37729549248748,4.58517887563884
"50","Netherlands",2.9782335705316,1.05254378648874,1.57507319113342,2.30924369747899,5.11059518784297,5.27338129496403
"51","New Zealand",2.23740310077519,1.07267441860465,2.01839303000968,2.57635467980296,5.10690633869442,5.11799761620977
"52","Nicaragua",3.23833333333333,1.495,1.83666666666667,4.65690376569038,3.73561301084237,4.28884986830553
"53","Nigeria",3.12560777957861,1.39133986928105,1.89627228525122,4.68229587712207,3.52669902912621,4.2860717264387
"54","North Macedonia",2.73607305936073,1.62285714285714,1.60714285714286,4.09593023255814,4.84072398190045,5.17213114754098
"55","Norway",3.15474060822898,1.06881143878463,1.69499105545617,2.54114490161002,5.28675136116152,4.67716535433071
"56","Pakistan",1.81604010025063,1.60712493728048,2.48220551378446,5.14465092918132,3.16214859437751,4.18383167220377
"57","Peru",2.95214285714286,1.41690544412607,1.93571428571429,4.42857142857143,4.30928571428571,4.90889212827988
"58","Philippines",2.35,1.23166666666667,2.41416666666667,4.35416666666667,3.34083333333333,4.31276415891801
"59","Poland",2.51407407407407,1.29503335804299,1.77083333333333,3.13925925925926,4.63508512213175,4.56224899598394
"60","Portugal",3.01400329489292,1.14201680672269,1.57803468208092,2.50205761316872,3.34732510288066,NA
"61","Puerto Rico",3.11538461538462,1.20649233543733,1.98356164383562,2.96276112624886,5.47648624667258,4.92452830188679
"62","Romania",2.53392857142857,1.26990838618746,1.41231209735147,2.83321351545651,4.24046076313895,4.52684989429175
"63","Russia",3.02090301003344,1.18501628664495,1.26136050674745,2.40955537144435,5.82117191818684,4.78023002797638
"64","Serbia",3.02623211446741,1.38743038981702,1.23067681217461,3.14936102236422,5.25755166931638,4.87078109932498
"65","Singapore",2.80914512922465,1.39362232187344,1.35282258064516,3.58983392048314,5.21812749003984,4.95323741007194
"66","Slovakia",2.75228070175439,1.18334499650105,1.69275786393563,2.66666666666667,4.49191848208011,3.9665991902834
"67","Slovenia",2.6296992481203,1.30056179775281,1.4733395696913,2.97375820056232,4.69317118802619,4.94298745724059
"68","South Korea",2.34859437751004,1.28192771084337,1.46024096385542,3.32369477911647,5.11807228915663,4.84016064257028
"69","Spain",3.11,1.10752688172043,1.29197684036394,2.38269550748752,3.88879668049793,4.30373831775701
"70","Sweden",2.98968185726569,1.06149957877001,1.88898233809924,2.35050675675676,5.38983050847458,5.79123414071511
"71","Switzerland",2.97509457755359,1.11796502384738,1.34659452577976,2.5408945686901,5.1780339417227,4.99521883045237
"72","Taiwan",2.92553191489362,1.41210139002453,1.55192150449714,3.20605069501226,5.16530278232406,4.47576006573541
"73","Tajikistan",2.10916666666667,1.51916666666667,2.60916666666667,5.26083333333333,5.25231286795627,5.47445887445887
"74","Thailand",1.97933333333333,1.49866666666667,1.78785549577248,4.19066666666667,3.13504388926401,4.68977119784657
"75","Tunisia",2.76677852348993,1.47844463229079,1.97207207207207,3.58257261410788,3.48376353039134,4.66217354675653
"76","Turkey",2.78150912106136,1.30024916943522,1.3527950310559,3.55998339559983,3.33374896093101,5.32543103448276
"77","Ukraine",2.50243393602225,1.23766504517026,1.30548843631343,2.82256944444444,5.83958333333333,4.22790003729952
"78","United Kingdom",3.09192825112108,1.07782754759239,1.86266816143498,2.39663865546218,5.03151378728194,4.72613803230543
"79","United States",2.78775038520801,1.11365399534523,1.48494329292139,2.78543913713405,5.88212334113973,5.00794912559618
"80","Vietnam",2.28,1.34,1.26333333333333,3.81583333333333,4.23416666666667,5.07298657718121
"81","Zimbabwe",2.63621399176955,1.28205128205128,2.31795716639209,4.53168724279835,3.45259686727123,3.36401673640167
